Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
Infernum Games GmbH,1,,10000.0,0.0,0.0,,0.6364
"Infinitive Game Studios, LLC",1,,10000.0,0.0,0.0,,0.0
"Infogrames, Atari",1,,10000.0,0.0,0.0,,1.0
Interactive Stone,1,,10000.0,0.0,0.0,,0.8235
Iron Boar Labs Ltd.,1,284.0,10000.0,1.0,2840000.0,,0.8182
Ironward,1,,3500000.0,5.0,0.0,,0.7216
Italian Games Factory,1,,10000.0,0.0,0.0,,0.0
J.S.Void,1,,35000.0,0.0,0.0,,0.0
JY Games,1,165.0,10000.0,0.0,1650000.0,,1.0
Jaisa Studio,1,,10000.0,0.0,0.0,,1.0
JanduSoft,1,129.0,10000.0,0.0,1290000.0,,0.0
Janika Suhonen,1,,10000.0,0.0,0.0,,0.0
"Janus VR, Inc.",1,,35000.0,0.0,0.0,,0.0
JeliLiam,1,,10000.0,1.0,0.0,,0.0
Jesse Sakari Hyttinen,1,,10000.0,0.0,0.0,,0.0
Joel Carter,1,,10000.0,0.0,0.0,,1.0
Joey Drew Studios Inc.,1,,10000.0,0.0,0.0,,0.8541
Jonas Kastner,1,,10000.0,0.0,0.0,,0.0
Jordan Pefianco,1,,35000.0,0.0,0.0,,1.0
Jordan Rott,1,42.0,10000.0,0.0,420000.0,,0.0
Joshua Chenault,1,133.0,10000.0,0.0,1330000.0,,1.0
Jules-Makes-Games,1,,10000.0,0.0,0.0,,0.0
Julian Henley,1,,10000.0,0.0,0.0,,0.0
KABloom Interactive,1,,75000.0,4.0,0.0,,0.0
KEMCO,1,449.0,10000.0,0.0,4490000.0,,0.0
KIMIDORI SOFT,1,125.0,10000.0,6.0,1250000.0,,0.8473
"KOEI TECMO GAMES CO., LTD.",7,,10000.0,0.7142857142857143,0.0,,0.6829571428571429
KOMODO,8,300.3333333333333,10000.0,0.0,18020000.0,,0.475
KPL,2,164.5,180000.0,0.0,47150000.0,,0.52385
Kali Studio,1,125.0,10000.0,0.0,1250000.0,,1.0
Kalypso Media,1,2699.0,350000.0,0.0,944650000.0,,0.6592
Kalypso Media Digital,2,599.0,42500.0,1.5,44925000.0,57.0,0.3991
Kasedo Games,1,385.0,10000.0,0.0,3850000.0,,0.9
Kavkaz Sila Games,1,42.0,10000.0,0.0,420000.0,,0.6364
Kazakov Oleg,1,125.0,75000.0,0.0,9375000.0,,0.6629
Kdanss LLC,1,710.0,10000.0,0.0,7100000.0,,0.0
Ki3 Games,1,,10000.0,0.0,0.0,,0.0
Killer Bees Games,1,,10000.0,0.0,0.0,,0.0
King Key Games,1,200.0,10000.0,0.0,2000000.0,,0.6286
Kirisame Jump,1,289.0,10000.0,0.0,2890000.0,,1.0
Kobal Andrii,1,,10000.0,0.0,0.0,,0.0
"Konstructors, GrabTheGames",1,,10000.0,0.0,0.0,,0.0
Kotoshiro,1,289.0,10000.0,0.0,2890000.0,,1.0
Kozegu Games,1,,10000.0,0.0,0.0,,0.0
Krasnoshekova Mariya,1,61.0,35000.0,0.0,2135000.0,,0.5
Kristyna Chytilova,1,,10000.0,0.0,0.0,,0.0
Krzysztof Konopka,1,,10000.0,0.0,0.0,,0.5
KuKo,1,21.0,10000.0,0.0,210000.0,,0.8723
Kwing works,1,133.0,10000.0,0.0,1330000.0,,0.7857
L.YC,1,,10000.0,0.0,0.0,,0.0
LK Avalon,1,490.0,10000.0,0.0,4900000.0,,0.0
LTZinc,1,42.0,10000.0,0.0,420000.0,,0.875
LU QI,1,99.0,10000.0,0.0,990000.0,,0.7576
Laplacian,1,259.0,10000.0,0.0,2590000.0,,1.0
Larkon Studio,1,385.0,35000.0,0.0,13475000.0,,0.5559
Laugical Games,1,,10000.0,0.0,0.0,,0.7778
Leeside Games,1,,10000.0,0.0,0.0,,0.0
LesLove.Club,1,,10000.0,0.0,0.0,,0.0
Li Yin,1,125.0,10000.0,0.0,1250000.0,,1.0
Libredia,1,129.0,10000.0,0.0,1290000.0,,0.2
Libredia Entertainment,1,349.0,35000.0,0.0,12215000.0,,0.6891
Light Road Games,1,385.0,10000.0,1.0,3850000.0,,0.6742
Lightspyre Tales,1,,10000.0,0.0,0.0,,0.5
Lil Hentai Games,1,125.0,10000.0,0.0,1250000.0,,0.9241
