Разработчик,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
Mighty Eyes,1,,75000.0,1.0,0.0,
Mikael Kinnander,1,,10000.0,0.0,0.0,
Mikhail Melnikov,1,,35000.0,0.0,0.0,
Milestone S.r.l.,3,,10000.0,0.0,0.0,
Milkfactory,1,,10000.0,0.0,0.0,
Mimimi Games,1,,10000.0,5.0,0.0,85.0
Minds Eye Productions,1,133.0,75000.0,0.0,9975000.0,
Miss Xero,1,,10000.0,0.0,0.0,
Modern Alchemy,1,,10000.0,0.0,0.0,
Modus Interactive,1,82.0,10000.0,0.0,820000.0,
MoeNovel,1,57.0,35000.0,0.0,1995000.0,
Monavista dev,1,82.0,10000.0,0.0,820000.0,
Monster Couch,1,,10000.0,0.0,0.0,
Moon Moose,1,,10000.0,0.0,0.0,
Moregames,1,,10000.0,0.0,0.0,
MorpheusZ,1,,10000.0,0.0,0.0,
Most Dangerous Games,1,,10000.0,0.0,0.0,
Movavi,1,,10000.0,0.0,0.0,
"Murray Atkinson, VGM Library",1,385.0,10000.0,0.0,3850000.0,
N3V Games,2,895.0,10000.0,0.0,17900000.0,
NUMBER7,1,,10000.0,0.0,0.0,
Nami Tentou,1,,10000.0,0.0,0.0,
Natako Studio,1,,10000.0,0.0,0.0,
"National Film Board of Canada, Casa Rara",1,,10000.0,0.0,0.0,
Nebelsoft,1,,10000.0,0.0,0.0,
NerdyBird Studios,1,,10000.0,0.0,0.0,
Never Dream,1,82.0,10000.0,0.0,820000.0,
Nevsram,1,61.0,10000.0,0.0,610000.0,
"New Games Waves, Softwaves",1,82.0,10000.0,0.0,820000.0,
Ni Hao,1,200.0,10000.0,0.0,2000000.0,
Nick Marinello,1,,10000.0,0.0,0.0,
Nifty Visuals,1,154.0,10000.0,0.0,1540000.0,
Night Animals,1,21.0,750000.0,1.0,15750000.0,
Nightbinder,1,23.0,75000.0,0.0,1725000.0,
Nihon Falcom,2,359.0,10000.0,0.0,3590000.0,
"Nikita ""Ghost_RUS""",1,42.0,10000.0,0.0,420000.0,
No Bull Intentions,1,,10000.0,1.0,0.0,
Noble Master LLC,1,,350000.0,5.0,0.0,
Noobz from Poland,1,,10000.0,0.0,0.0,
Nor,1,,10000.0,0.0,0.0,
Nord GS,1,,10000.0,0.0,0.0,
Novalink,1,,10000.0,0.0,0.0,
"Novax Games, Eastasiasoft Limited",1,,10000.0,0.0,0.0,
Nowhere Studios,1,,10000.0,0.0,0.0,
Nuked Cockroach,1,,10000.0,0.0,0.0,
"Nuno ""Omega Leo"" Diogo",1,,10000.0,0.0,0.0,
Nyanco Channel,2,82.0,10000.0,0.0,1640000.0,
O.T.K Games,1,82.0,10000.0,0.0,820000.0,
Ocean Software,1,,10000.0,0.0,0.0,
Ojas VR Studios,1,,10000.0,0.0,0.0,
Old Eagle,1,102.0,10000.0,0.0,1020000.0,
Oldmoustache Gameworks,1,,35000.0,1.0,0.0,52.0
Oleg Sereda,1,82.0,10000.0,0.0,820000.0,
Oli Taylor,1,30.0,35000.0,0.0,1050000.0,
On The Level Studio Pty Ltd,1,,10000.0,0.0,0.0,
OnSkull Games,2,145.0,22500.0,0.0,7025000.0,
"One Day I Too Go Fly Inc, Distribber",1,,10000.0,0.0,0.0,
Oneironaut Academy LLC,1,,10000.0,0.0,0.0,
"Orebody Inc, John Vanderhoef",1,,10000.0,0.0,0.0,
OrgAction LLC,1,30.0,10000.0,0.0,300000.0,
Osmose Studio,1,61.0,10000.0,0.0,610000.0,
Otterside Games,1,,10000.0,1.0,0.0,
OutSource Studios,1,,10000.0,0.0,0.0,
Overflow,1,104.0,35000.0,7.0,3640000.0,
Overhead Games,1,,10000.0,0.0,0.0,
PJ Faynik,1,,10000.0,0.0,0.0,
POISON,1,710.0,10000.0,0.0,7100000.0,
PPIYO STUDIO,1,520.0,10000.0,1.0,5200000.0,
PRODUKTIVKELLER Studios UG,1,,10000.0,0.0,0.0,
Panic Art Studios Ltd,1,200.0,10000.0,0.0,2000000.0,
Paradox Tinto,1,309.0,10000.0,0.0,3090000.0,
Pathea Games,1,169.0,10000.0,0.0,1690000.0,
"PengJiLin, Unreal® Engine",1,,10000.0,0.0,0.0,
"Performance Pictures, Mad Anth'm Productions",1,,10000.0,0.0,0.0,
PerkMandelc,1,,10000.0,0.0,0.0,
Pernich Media,1,280.0,10000.0,0.0,2800000.0,
Peter Manfreda,1,259.0,10000.0,0.0,2590000.0,
Petr Šimůnek,1,,10000.0,0.0,0.0,
Phantom Games Studio,1,,10000.0,0.0,0.0,
PhantomSoft,1,,10000.0,0.0,0.0,
"Pharaoh Hound Games, Box Monkey Studios",1,,10000.0,0.0,0.0,
Pierre Feuille Studio,1,,10000.0,0.0,0.0,
Pin-Point,1,,10000.0,0.0,0.0,
Pink Label Games,1,41.0,10000.0,0.0,410000.0,
PinkChinChin,1,385.0,10000.0,0.0,3850000.0,
"Pirozhok Studio, Vitaliy Ruzankin",1,,10000.0,0.0,0.0,
Pixel Puzzles,2,89.5,10000.0,0.0,1790000.0,
